date,severity,count,avg_mttr_min
2025-03-02,Medium,1,174.0
2025-03-03,High,3,57.7
2025-03-03,Low,1,223.0
2025-03-03,Medium,1,148.0
2025-03-04,Low,1,177.0
2025-03-04,Medium,2,166.0
2025-03-05,Critical,1,30.0
2025-03-05,High,1,47.0
2025-03-05,Low,1,276.0
2025-03-05,Medium,2,147.5
2025-03-06,Critical,2,29.5
2025-03-06,Low,3,438.0
2025-03-06,Medium,1,259.0
2025-03-07,Low,3,398.7
2025-03-08,High,1,34.0
2025-03-08,Medium,1,118.0
2025-03-09,Low,1,314.0
2025-03-09,Medium,2,263.0
2025-03-10,Critical,2,39.0
2025-03-10,Low,1,231.0
2025-03-10,Medium,2,122.5
2025-03-11,Critical,1,14.0
2025-03-11,Low,1,703.0
2025-03-11,Medium,3,190.0
2025-03-12,Critical,1,16.0
2025-03-12,Low,2,309.5
2025-03-12,Medium,2,185.5
2025-03-13,High,1,43.0
2025-03-13,Medium,1,243.0
2025-03-14,Critical,2,25.5
2025-03-14,Medium,2,112.0
2025-03-15,Low,2,435.5
2025-03-16,Low,1,145.0
2025-03-17,High,2,103.5
2025-03-17,Medium,1,162.0
2025-03-18,High,1,63.0
2025-03-18,Medium,3,175.0
2025-03-19,Low,1,458.0
2025-03-19,Medium,4,166.5
2025-03-20,Critical,1,25.0
2025-03-20,High,2,116.0
2025-03-20,Low,3,454.0
2025-03-21,High,1,89.0
2025-03-21,Low,1,636.0
2025-03-22,High,1,61.0
2025-03-22,Low,1,202.0
2025-03-22,Medium,1,242.0
2025-03-23,Critical,1,36.0
2025-03-24,Critical,1,32.0
2025-03-24,Low,1,518.0
2025-03-25,Critical,1,31.0
2025-03-25,High,1,40.0
2025-03-25,Low,2,505.5
2025-03-25,Medium,2,135.0
2025-03-26,High,1,46.0
2025-03-26,Low,1,161.0
2025-03-26,Medium,1,256.0
2025-03-27,Critical,1,25.0
2025-03-27,Low,1,475.0
2025-03-27,Medium,2,180.0
2025-03-28,Low,2,381.5
2025-03-28,Medium,3,213.7
2025-03-29,High,1,106.0
2025-03-29,Low,1,207.0
2025-03-30,Medium,1,185.0
