date,region,avg_latency,p95_latency,avg_loss,avg_bandwidth,health_score,breach_hours
2025-03-01,ap-southeast-1,53.26,58.65,0.22,926.2,84.82,9
2025-03-01,eu-central-1,34.85,41.33,0.38,866.3,88.41,1
2025-03-01,eu-west-1,25.58,33.61,0.34,912.73,91.13,0
2025-03-01,us-east-1,18.73,22.24,0.3,895.91,93.23,0
2025-03-01,us-west-2,30.05,93.08,0.28,896.04,90.31,2
2025-03-02,ap-southeast-1,63.83,192.2,0.27,911.44,82.95,11
2025-03-02,eu-central-1,36.07,40.02,0.48,912.1,87.51,1
2025-03-02,eu-west-1,30.6,32.27,0.33,868.47,89.84,1
2025-03-02,us-east-1,20.6,23.21,0.25,909.56,93.02,1
2025-03-02,us-west-2,24.1,30.37,0.23,913.5,92.2,0
2025-03-03,ap-southeast-1,46.76,57.64,0.28,893.73,85.87,9
2025-03-03,eu-central-1,31.35,37.94,0.28,925.57,89.97,0
2025-03-03,eu-west-1,26.86,35.69,0.39,872.87,90.47,0
2025-03-03,us-east-1,22.5,24.73,0.26,896.64,92.45,1
2025-03-03,us-west-2,22.42,27.12,0.28,898.54,92.37,0
2025-03-04,ap-southeast-1,49.9,66.53,0.27,917.01,85.05,11
2025-03-04,eu-central-1,29.81,38.5,0.25,870.48,90.55,0
2025-03-04,eu-west-1,32.82,76.15,0.31,901.92,89.39,2
2025-03-04,us-east-1,18.96,23.35,0.41,893.68,92.48,0
2025-03-04,us-west-2,22.53,27.18,0.3,895.04,92.17,0
2025-03-05,ap-southeast-1,55.57,59.59,0.44,881.3,83.43,8
2025-03-05,eu-central-1,32.55,38.97,0.32,899.8,89.38,1
2025-03-05,eu-west-1,34.57,95.92,0.6,905.0,87.48,2
2025-03-05,us-east-1,22.18,28.08,0.37,919.5,91.86,1
2025-03-05,us-west-2,22.47,26.65,0.43,869.93,91.4,0
2025-03-06,ap-southeast-1,57.47,70.59,0.32,917.01,82.84,17
2025-03-06,eu-central-1,29.91,36.94,0.34,911.62,90.01,0
2025-03-06,eu-west-1,31.03,38.52,0.3,893.48,89.93,1
2025-03-06,us-east-1,18.96,23.81,0.41,930.63,92.47,0
2025-03-06,us-west-2,24.06,28.32,0.27,916.33,91.98,0
2025-03-07,ap-southeast-1,54.31,60.02,0.4,916.95,83.76,13
2025-03-07,eu-central-1,31.44,41.0,0.26,931.74,90.08,0
2025-03-07,eu-west-1,26.13,33.71,0.27,888.81,91.4,0
2025-03-07,us-east-1,24.9,66.15,0.4,900.1,90.98,2
2025-03-07,us-west-2,25.74,28.17,0.39,919.45,90.78,1
2025-03-08,ap-southeast-1,49.93,62.11,0.36,913.19,84.52,11
2025-03-08,eu-central-1,30.09,36.12,0.41,930.28,89.52,0
2025-03-08,eu-west-1,26.64,30.41,0.26,927.13,91.35,0
2025-03-08,us-east-1,24.3,56.82,0.36,930.74,91.39,2
2025-03-08,us-west-2,30.6,105.64,0.32,901.45,89.92,2
2025-03-09,ap-southeast-1,46.69,65.7,0.37,893.06,85.32,8
2025-03-09,eu-central-1,30.13,41.97,0.24,912.43,90.55,0
2025-03-09,eu-west-1,27.41,33.28,0.29,923.92,90.94,0
2025-03-09,us-east-1,20.21,24.05,0.29,911.73,92.88,0
2025-03-09,us-west-2,24.4,30.52,0.28,911.45,91.84,0
2025-03-10,ap-southeast-1,47.2,56.13,0.24,911.02,85.96,9
2025-03-10,eu-central-1,34.12,39.91,0.43,889.94,88.3,1
2025-03-10,eu-west-1,28.26,34.21,0.27,877.76,90.82,0
2025-03-10,us-east-1,18.99,24.22,0.48,934.99,92.03,0
2025-03-10,us-west-2,30.02,45.01,0.26,922.66,90.44,1
2025-03-11,ap-southeast-1,57.6,143.62,0.28,893.08,83.95,8
2025-03-11,eu-central-1,38.08,107.27,0.41,877.4,87.41,2
2025-03-11,eu-west-1,27.43,38.31,0.27,908.96,91.06,0
2025-03-11,us-east-1,20.77,27.12,0.36,914.38,92.28,1
2025-03-11,us-west-2,24.86,30.55,0.4,884.06,90.95,1
2025-03-12,ap-southeast-1,54.5,65.64,0.36,898.12,83.81,9
2025-03-12,eu-central-1,33.71,42.01,0.35,874.25,88.92,1
2025-03-12,eu-west-1,33.95,116.29,0.48,907.89,88.08,2
2025-03-12,us-east-1,21.99,25.42,0.36,917.61,92.0,1
2025-03-12,us-west-2,22.89,26.92,0.47,867.31,91.09,0
2025-03-13,ap-southeast-1,55.89,66.76,0.25,899.31,83.6,15
2025-03-13,eu-central-1,32.22,37.49,0.57,888.31,88.01,1
2025-03-13,eu-west-1,31.84,73.77,0.29,925.99,89.76,2
2025-03-13,us-east-1,19.7,23.45,0.32,867.67,92.8,0
2025-03-13,us-west-2,24.47,29.86,0.31,890.33,91.59,1
2025-03-14,ap-southeast-1,48.84,61.34,0.4,931.44,84.55,12
2025-03-14,eu-central-1,35.13,92.85,0.23,912.9,89.25,2
2025-03-14,eu-west-1,33.28,110.45,0.31,903.1,89.23,2
2025-03-14,us-east-1,19.94,24.13,0.39,913.31,92.34,0
2025-03-14,us-west-2,23.67,29.15,0.32,907.11,91.77,0
2025-03-15,ap-southeast-1,56.27,60.81,0.29,885.24,84.16,11
2025-03-15,eu-central-1,33.68,42.87,0.4,923.38,88.63,1
2025-03-15,eu-west-1,24.85,31.42,0.22,914.44,92.03,0
2025-03-15,us-east-1,20.64,24.99,0.25,909.84,93.01,1
2025-03-15,us-west-2,24.17,30.77,0.27,885.86,91.95,0
2025-03-16,ap-southeast-1,56.11,68.87,0.34,896.38,83.24,14
2025-03-16,eu-central-1,43.84,127.01,0.36,919.58,86.14,3
2025-03-16,eu-west-1,26.78,33.18,0.45,894.45,90.18,0
2025-03-16,us-east-1,24.58,54.03,0.26,923.35,91.9,2
2025-03-16,us-west-2,24.52,31.03,0.26,899.82,91.89,0
2025-03-17,ap-southeast-1,48.5,60.19,0.35,921.38,84.99,11
2025-03-17,eu-central-1,33.78,38.84,0.3,924.55,89.18,1
2025-03-17,eu-west-1,30.22,31.28,0.3,927.45,90.15,1
2025-03-17,us-east-1,19.28,24.85,0.59,918.5,91.79,0
2025-03-17,us-west-2,28.86,62.16,0.51,890.15,89.22,2
2025-03-18,ap-southeast-1,54.36,62.41,0.37,903.62,84.21,7
2025-03-18,eu-central-1,31.58,36.66,0.77,906.61,87.33,0
2025-03-18,eu-west-1,25.62,31.64,0.3,893.03,91.39,0
2025-03-18,us-east-1,25.78,80.36,0.47,927.43,90.33,2
2025-03-18,us-west-2,35.44,117.23,0.27,888.63,88.9,3
2025-03-19,ap-southeast-1,49.89,65.46,0.32,894.54,84.78,10
2025-03-19,eu-central-1,35.4,39.28,0.32,905.61,88.64,1
2025-03-19,eu-west-1,29.68,35.52,0.41,889.49,89.64,1
2025-03-19,us-east-1,18.6,22.35,0.41,903.83,92.56,0
2025-03-19,us-west-2,23.33,30.92,0.5,844.63,90.79,0
2025-03-20,ap-southeast-1,62.66,183.52,0.21,929.98,83.55,12
2025-03-20,eu-central-1,30.86,36.55,0.56,897.18,88.42,0
