date,hour,region,avg_latency,max_latency,avg_loss,avg_bandwidth,avg_jitter,health_score,breach_count
2025-03-01,0,ap-southeast-1,42.3,42.3,0.07,655.1,3.07,88.3,0
2025-03-01,0,eu-central-1,34.23,34.23,0.31,805.8,0.99,89.0,0
2025-03-01,0,eu-west-1,25.66,25.66,0.01,850.2,0.95,93.1,0
2025-03-01,0,us-east-1,19.34,19.34,0.09,866.0,1.31,94.3,0
2025-03-01,0,us-west-2,14.52,14.52,0.24,813.3,1.48,94.7,0
2025-03-01,1,ap-southeast-1,44.95,44.95,0.1,1000.0,2.21,87.4,0
2025-03-01,1,eu-central-1,18.35,18.35,0.37,792.4,0.96,92.9,0
2025-03-01,1,eu-west-1,19.99,19.99,0.01,899.8,3.63,94.6,0
2025-03-01,1,us-east-1,17.63,17.63,0.23,831.7,0.17,93.9,0
2025-03-01,1,us-west-2,22.08,22.08,0.68,732.5,5.17,90.0,0
2025-03-01,2,ap-southeast-1,46.86,46.86,0.05,850.9,0.96,87.2,0
2025-03-01,2,eu-central-1,28.47,28.47,0.3,658.7,0.99,90.6,0
2025-03-01,2,eu-west-1,23.46,23.46,0.45,1000.0,1.72,91.1,0
2025-03-01,2,us-east-1,19.75,19.75,0.3,935.0,1.07,92.9,0
2025-03-01,2,us-west-2,22.59,22.59,0.11,1000.0,1.82,93.3,0
2025-03-01,3,ap-southeast-1,58.79,58.79,0.09,960.5,2.02,83.8,1
2025-03-01,3,eu-central-1,20.71,20.71,0.88,912.8,2.79,89.2,0
2025-03-01,3,eu-west-1,25.49,25.49,0.04,815.8,0.93,92.9,0
2025-03-01,3,us-east-1,22.11,22.11,0.09,964.8,0.29,93.6,0
2025-03-01,3,us-west-2,21.47,21.47,0.06,1000.0,0.39,93.9,0
2025-03-01,4,ap-southeast-1,48.86,48.86,0.08,861.9,3.28,86.5,0
2025-03-01,4,eu-central-1,38.26,38.26,0.07,979.9,1.89,89.4,0
2025-03-01,4,eu-west-1,23.3,23.3,0.19,866.6,4.18,92.7,0
2025-03-01,4,us-east-1,17.37,17.37,0.04,755.7,4.13,95.1,0
2025-03-01,4,us-west-2,24.33,24.33,0.18,796.3,2.43,92.4,0
2025-03-01,5,ap-southeast-1,49.02,49.02,0.22,849.2,0.11,85.6,0
2025-03-01,5,eu-central-1,26.03,26.03,1.35,1000.0,1.22,84.9,0
2025-03-01,5,eu-west-1,24.18,24.18,0.28,719.7,5.05,91.9,0
2025-03-01,5,us-east-1,17.37,17.37,0.54,690.3,7.38,92.1,0
2025-03-01,5,us-west-2,104.13,104.13,0.08,624.3,1.55,71.7,1
2025-03-01,6,ap-southeast-1,43.2,43.2,0.25,690.6,0.1,87.0,0
2025-03-01,6,eu-central-1,31.13,31.13,0.53,886.6,0.4,88.5,0
2025-03-01,6,eu-west-1,24.66,24.66,0.17,745.8,2.79,92.4,0
2025-03-01,6,us-east-1,22.26,22.26,1.25,629.7,0.19,86.6,0
2025-03-01,6,us-west-2,20.78,20.78,0.22,763.8,6.86,93.1,0
2025-03-01,7,ap-southeast-1,38.39,38.39,0.87,846.8,1.53,84.5,0
2025-03-01,7,eu-central-1,27.85,27.85,0.27,758.0,0.1,91.0,0
2025-03-01,7,eu-west-1,24.7,24.7,0.01,861.7,0.12,93.4,0
2025-03-01,7,us-east-1,20.07,20.07,0.22,911.0,7.76,93.3,0
2025-03-01,7,us-west-2,25.43,25.43,0.1,1000.0,1.24,92.6,0
2025-03-01,8,ap-southeast-1,183.71,183.71,0.07,1000.0,0.35,59.6,1
2025-03-01,8,eu-central-1,28.32,28.32,0.36,840.3,0.62,90.3,0
2025-03-01,8,eu-west-1,28.98,28.98,0.5,1000.0,2.09,89.2,0
2025-03-01,8,us-east-1,19.24,19.24,0.06,932.9,1.85,94.5,0
2025-03-01,8,us-west-2,23.73,23.73,0.66,1000.0,1.29,89.7,0
2025-03-01,9,ap-southeast-1,46.24,46.24,0.34,1000.0,2.73,85.6,0
2025-03-01,9,eu-central-1,27.75,27.75,0.34,1000.0,0.28,90.5,0
2025-03-01,9,eu-west-1,24.18,24.18,0.0,1000.0,3.6,93.5,0
2025-03-01,9,us-east-1,22.38,22.38,0.1,769.1,0.89,93.4,0
2025-03-01,9,us-west-2,25.55,25.55,0.31,894.5,2.63,91.3,0
2025-03-01,10,ap-southeast-1,54.79,54.79,0.56,1000.0,0.6,82.0,1
2025-03-01,10,eu-central-1,39.86,39.86,0.02,824.8,3.85,89.3,0
2025-03-01,10,eu-west-1,25.66,25.66,0.47,1000.0,0.37,90.3,0
2025-03-01,10,us-east-1,19.26,19.26,0.01,1000.0,0.2,94.8,0
2025-03-01,10,us-west-2,118.51,118.51,0.0,1000.0,1.87,68.4,1
2025-03-01,11,ap-southeast-1,38.93,38.93,0.27,1000.0,1.42,88.0,0
2025-03-01,11,eu-central-1,36.82,36.82,0.08,1000.0,0.3,89.7,0
2025-03-01,11,eu-west-1,23.21,23.21,0.74,1000.0,0.65,89.4,0
2025-03-01,11,us-east-1,19.25,19.25,0.81,1000.0,1.74,90.0,0
2025-03-01,11,us-west-2,21.46,21.46,0.54,1000.0,1.17,91.0,0
2025-03-01,12,ap-southeast-1,56.35,56.35,0.1,947.0,0.55,84.4,1
2025-03-01,12,eu-central-1,41.59,41.59,1.08,1000.0,3.22,82.5,0
2025-03-01,12,eu-west-1,32.97,32.97,0.19,1000.0,5.35,90.1,0
2025-03-01,12,us-east-1,21.45,21.45,0.04,1000.0,3.96,94.0,0
2025-03-01,12,us-west-2,21.05,21.05,0.13,1000.0,11.46,93.6,0
2025-03-01,13,ap-southeast-1,50.84,50.84,0.1,1000.0,1.99,85.8,1
2025-03-01,13,eu-central-1,32.47,32.47,0.25,1000.0,1.22,89.8,0
2025-03-01,13,eu-west-1,19.67,19.67,0.25,1000.0,0.1,93.2,0
2025-03-01,13,us-east-1,14.76,14.76,0.28,1000.0,3.07,94.4,0
2025-03-01,13,us-west-2,30.45,30.45,0.13,1000.0,0.9,91.1,0
2025-03-01,14,ap-southeast-1,57.44,57.44,0.01,1000.0,0.31,84.6,1
2025-03-01,14,eu-central-1,33.59,33.59,0.16,1000.0,0.19,90.1,0
2025-03-01,14,eu-west-1,33.72,33.72,0.21,871.4,3.49,89.7,0
2025-03-01,14,us-east-1,15.34,15.34,0.11,1000.0,0.13,95.3,0
2025-03-01,14,us-west-2,23.05,23.05,0.16,1000.0,0.81,92.9,0
2025-03-01,15,ap-southeast-1,46.13,46.13,0.12,1000.0,0.1,87.0,0
2025-03-01,15,eu-central-1,30.91,30.91,0.47,1000.0,4.19,88.9,0
2025-03-01,15,eu-west-1,34.73,34.73,0.61,1000.0,1.61,87.1,0
2025-03-01,15,us-east-1,18.95,18.95,0.27,1000.0,0.19,93.3,0
2025-03-01,15,us-west-2,27.93,27.93,0.33,1000.0,5.0,90.6,0
2025-03-01,16,ap-southeast-1,44.75,44.75,0.45,1000.0,0.13,85.4,0
2025-03-01,16,eu-central-1,30.81,30.81,0.24,728.2,2.17,90.3,0
2025-03-01,16,eu-west-1,27.45,27.45,0.72,1000.0,1.48,88.4,0
2025-03-01,16,us-east-1,17.56,17.56,0.35,1000.0,1.29,93.2,0
2025-03-01,16,us-west-2,18.56,18.56,0.19,873.2,0.1,93.9,0
2025-03-01,17,ap-southeast-1,48.59,48.59,0.02,1000.0,7.71,86.9,0
2025-03-01,17,eu-central-1,27.17,27.17,0.0,1000.0,0.67,92.7,0
2025-03-01,17,eu-west-1,17.52,17.52,0.74,1000.0,0.1,90.9,0
2025-03-01,17,us-east-1,21.68,21.68,0.58,1000.0,0.87,90.7,0
2025-03-01,17,us-west-2,15.8,15.8,0.33,1000.0,0.56,93.8,0
2025-03-01,18,ap-southeast-1,48.41,48.41,0.08,1000.0,0.38,86.6,0
2025-03-01,18,eu-central-1,32.61,32.61,0.44,757.2,5.63,88.7,0
2025-03-01,18,eu-west-1,27.19,27.19,0.14,906.9,4.28,91.9,0
2025-03-01,18,us-east-1,17.88,17.88,0.08,1000.0,0.66,94.8,0
2025-03-01,18,us-west-2,26.68,26.68,0.05,1000.0,2.23,92.6,0
2025-03-01,19,ap-southeast-1,50.44,50.44,0.37,857.7,3.08,84.3,1
2025-03-01,19,eu-central-1,126.76,126.76,0.4,937.9,0.12,63.8,1
2025-03-01,19,eu-west-1,24.76,24.76,0.29,930.3,1.12,91.7,0
2025-03-01,19,us-east-1,14.19,14.19,0.0,888.6,0.82,96.2,0
2025-03-01,19,us-west-2,21.58,21.58,1.05,799.6,0.44,87.9,0
2025-03-01,20,ap-southeast-1,50.38,50.38,0.46,854.4,0.18,83.8,1
2025-03-01,20,eu-central-1,29.86,29.86,0.05,783.4,0.56,91.7,0
2025-03-01,20,eu-west-1,21.21,21.21,0.78,930.6,1.95,89.6,0
2025-03-01,20,us-east-1,21.96,21.96,0.04,769.8,4.07,93.9,0
2025-03-01,20,us-west-2,23.23,23.23,0.39,805.9,10.64,91.5,0
2025-03-01,21,ap-southeast-1,57.86,57.86,0.18,1000.0,0.29,83.5,1
2025-03-01,21,eu-central-1,28.71,28.71,0.94,591.2,3.49,86.7,0
2025-03-01,21,eu-west-1,23.07,23.07,0.98,896.1,2.83,88.0,0
2025-03-01,21,us-east-1,17.39,17.39,0.69,969.0,6.62,91.2,0
2025-03-01,21,us-west-2,28.19,28.19,0.09,746.2,1.56,92.0,0
2025-03-01,22,ap-southeast-1,41.66,41.66,0.36,854.7,1.78,86.7,0
2025-03-01,22,eu-central-1,29.21,29.21,0.08,752.3,3.09,91.8,0
2025-03-01,22,eu-west-1,30.74,30.74,0.21,730.7,3.03,90.5,0
2025-03-01,22,us-east-1,18.18,18.18,0.62,829.0,1.3,91.4,0
2025-03-01,22,us-west-2,17.92,17.92,0.39,770.5,2.27,92.9,0
2025-03-01,23,ap-southeast-1,29.38,29.38,0.15,1000.0,1.56,91.3,0
2025-03-01,23,eu-central-1,35.04,35.04,0.18,781.6,0.85,89.6,0
2025-03-01,23,eu-west-1,27.49,27.49,0.18,879.9,7.81,91.6,0
2025-03-01,23,us-east-1,14.15,14.15,0.27,759.3,5.91,94.6,0
2025-03-01,23,us-west-2,22.13,22.13,0.26,884.8,0.44,92.6,0
2025-03-02,0,ap-southeast-1,42.24,42.24,0.05,694.4,7.57,88.4,0
2025-03-02,0,eu-central-1,128.42,128.42,0.04,992.9,0.16,65.5,1
2025-03-02,0,eu-west-1,21.53,21.53,0.1,708.0,1.89,93.7,0
2025-03-02,0,us-east-1,16.53,16.53,0.28,914.4,0.97,93.9,0
2025-03-02,0,us-west-2,26.88,26.88,0.04,816.7,0.85,92.6,0
2025-03-02,1,ap-southeast-1,46.56,46.56,0.15,846.1,7.24,86.7,0
2025-03-02,1,eu-central-1,31.18,31.18,0.28,873.6,4.88,90.0,0
2025-03-02,1,eu-west-1,19.01,19.01,0.96,819.7,1.28,89.2,0
2025-03-02,1,us-east-1,18.3,18.3,0.33,742.2,1.62,93.2,0
2025-03-02,1,us-west-2,18.39,18.39,0.06,915.5,2.38,94.7,0
2025-03-02,2,ap-southeast-1,49.82,49.82,0.26,758.5,3.78,85.2,0
2025-03-02,2,eu-central-1,36.62,36.62,0.14,891.3,0.94,89.4,0
2025-03-02,2,eu-west-1,23.77,23.77,0.05,973.5,7.68,93.4,0
2025-03-02,2,us-east-1,14.89,14.89,0.06,853.4,0.64,95.7,0
2025-03-02,2,us-west-2,20.07,20.07,0.01,755.8,1.99,94.6,0
2025-03-02,3,ap-southeast-1,47.05,47.05,0.89,790.6,2.3,82.1,0
2025-03-02,3,eu-central-1,33.49,33.49,0.13,991.7,0.54,90.3,0
2025-03-02,3,eu-west-1,24.2,24.2,0.26,945.6,2.57,92.0,0
2025-03-02,3,us-east-1,19.01,19.01,0.74,848.9,2.56,90.5,0
2025-03-02,3,us-west-2,16.17,16.17,0.5,934.9,3.84,92.7,0
2025-03-02,4,ap-southeast-1,41.65,41.65,0.02,793.2,1.52,88.8,0
2025-03-02,4,eu-central-1,32.84,32.84,0.53,838.5,1.81,88.1,0
2025-03-02,4,eu-west-1,26.86,26.86,0.1,851.8,0.89,92.2,0
2025-03-02,4,us-east-1,16.38,16.38,0.16,980.3,9.66,94.7,0
2025-03-02,4,us-west-2,29.38,29.38,0.24,1000.0,0.78,90.7,0
2025-03-02,5,ap-southeast-1,56.57,56.57,0.21,764.6,1.1,83.6,1
2025-03-02,5,eu-central-1,26.71,26.71,0.0,940.5,6.03,92.9,0
