timestamp,region,latency_ms,packet_loss_pct,bandwidth_mbps,jitter_ms
2025-03-01 00:00:00,us-east-1,19.34,0.094,866.0,1.31
2025-03-01 01:00:00,us-east-1,17.63,0.234,831.7,0.17
2025-03-01 02:00:00,us-east-1,19.75,0.301,935.0,1.07
2025-03-01 03:00:00,us-east-1,22.11,0.089,964.8,0.29
2025-03-01 04:00:00,us-east-1,17.37,0.045,755.7,4.13
2025-03-01 05:00:00,us-east-1,17.37,0.54,690.3,7.38
2025-03-01 06:00:00,us-east-1,22.26,1.248,629.7,0.19
2025-03-01 07:00:00,us-east-1,20.07,0.224,911.0,7.76
2025-03-01 08:00:00,us-east-1,19.24,0.062,932.9,1.85
2025-03-01 09:00:00,us-east-1,22.38,0.105,769.1,0.89
2025-03-01 10:00:00,us-east-1,19.26,0.006,1000.0,0.2
2025-03-01 11:00:00,us-east-1,19.25,0.811,1000.0,1.74
2025-03-01 12:00:00,us-east-1,21.45,0.041,1000.0,3.96
2025-03-01 13:00:00,us-east-1,14.76,0.284,1000.0,3.07
2025-03-01 14:00:00,us-east-1,15.34,0.106,1000.0,0.13
2025-03-01 15:00:00,us-east-1,18.95,0.267,1000.0,0.19
2025-03-01 16:00:00,us-east-1,17.56,0.348,1000.0,1.29
2025-03-01 17:00:00,us-east-1,21.68,0.584,1000.0,0.87
2025-03-01 18:00:00,us-east-1,17.88,0.076,1000.0,0.66
2025-03-01 19:00:00,us-east-1,14.19,0.003,888.6,0.82
2025-03-01 20:00:00,us-east-1,21.96,0.044,769.8,4.07
2025-03-01 21:00:00,us-east-1,17.39,0.691,969.0,6.62
2025-03-01 22:00:00,us-east-1,18.18,0.621,829.0,1.3
2025-03-01 23:00:00,us-east-1,14.15,0.273,759.3,5.91
2025-03-02 00:00:00,us-east-1,16.53,0.275,914.4,0.97
2025-03-02 01:00:00,us-east-1,18.3,0.328,742.2,1.62
2025-03-02 02:00:00,us-east-1,14.89,0.058,853.4,0.64
2025-03-02 03:00:00,us-east-1,19.01,0.737,848.9,2.56
2025-03-02 04:00:00,us-east-1,16.38,0.163,980.3,9.66
2025-03-02 05:00:00,us-east-1,17.21,0.145,907.0,2.31
2025-03-02 06:00:00,us-east-1,16.38,0.22,847.0,1.11
2025-03-02 07:00:00,us-east-1,23.0,0.014,948.1,2.61
2025-03-02 08:00:00,us-east-1,20.66,0.06,1000.0,0.33
2025-03-02 09:00:00,us-east-1,17.42,0.442,1000.0,5.49
2025-03-02 10:00:00,us-east-1,23.25,0.029,1000.0,1.75
2025-03-02 11:00:00,us-east-1,16.91,0.305,900.4,1.49
2025-03-02 12:00:00,us-east-1,21.35,0.093,938.8,2.2
2025-03-02 13:00:00,us-east-1,14.62,0.163,1000.0,2.45
2025-03-02 14:00:00,us-east-1,16.58,0.112,1000.0,0.19
2025-03-02 15:00:00,us-east-1,21.31,0.145,1000.0,2.87
2025-03-02 16:00:00,us-east-1,74.26,0.419,1000.0,0.69
2025-03-02 17:00:00,us-east-1,21.23,0.116,1000.0,3.13
2025-03-02 18:00:00,us-east-1,20.34,0.276,1000.0,4.32
2025-03-02 19:00:00,us-east-1,17.19,0.194,908.4,4.07
2025-03-02 20:00:00,us-east-1,14.01,0.327,857.7,2.01
2025-03-02 21:00:00,us-east-1,16.06,0.829,612.9,1.84
2025-03-02 22:00:00,us-east-1,16.76,0.396,737.3,0.39
2025-03-02 23:00:00,us-east-1,20.85,0.073,832.7,3.73
2025-03-03 00:00:00,us-east-1,18.93,0.01,704.8,0.79
2025-03-03 01:00:00,us-east-1,13.24,0.091,922.0,1.72
2025-03-03 02:00:00,us-east-1,100.88,0.271,1000.0,0.84
2025-03-03 03:00:00,us-east-1,16.96,0.016,996.3,0.36
2025-03-03 04:00:00,us-east-1,16.17,0.206,824.4,2.48
2025-03-03 05:00:00,us-east-1,19.65,0.273,1000.0,0.14
2025-03-03 06:00:00,us-east-1,20.78,0.718,867.8,3.45
2025-03-03 07:00:00,us-east-1,20.51,0.442,809.5,0.96
2025-03-03 08:00:00,us-east-1,18.09,0.037,1000.0,0.1
2025-03-03 09:00:00,us-east-1,19.74,0.026,1000.0,1.79
2025-03-03 10:00:00,us-east-1,21.73,0.43,1000.0,0.12
2025-03-03 11:00:00,us-east-1,23.73,0.226,1000.0,0.81
2025-03-03 12:00:00,us-east-1,19.21,0.385,1000.0,3.07
2025-03-03 13:00:00,us-east-1,20.12,0.188,1000.0,0.16
2025-03-03 14:00:00,us-east-1,17.26,0.093,1000.0,4.57
2025-03-03 15:00:00,us-east-1,16.99,0.564,1000.0,0.1
2025-03-03 16:00:00,us-east-1,23.22,0.53,1000.0,0.71
2025-03-03 17:00:00,us-east-1,24.91,0.392,873.4,3.38
2025-03-03 18:00:00,us-east-1,20.48,0.105,706.6,0.95
2025-03-03 19:00:00,us-east-1,20.71,0.268,962.1,0.27
2025-03-03 20:00:00,us-east-1,18.98,0.134,686.0,1.12
2025-03-03 21:00:00,us-east-1,16.26,0.029,823.0,0.79
2025-03-03 22:00:00,us-east-1,18.98,0.748,709.6,4.62
2025-03-03 23:00:00,us-east-1,22.15,0.044,633.8,0.94
2025-03-04 00:00:00,us-east-1,17.9,0.9,915.0,3.89
2025-03-04 01:00:00,us-east-1,22.22,0.177,941.1,5.56
2025-03-04 02:00:00,us-east-1,10.93,0.061,780.8,1.42
2025-03-04 03:00:00,us-east-1,20.22,0.234,539.1,6.02
2025-03-04 04:00:00,us-east-1,18.24,0.619,784.5,1.18
2025-03-04 05:00:00,us-east-1,17.19,0.395,897.0,8.32
2025-03-04 06:00:00,us-east-1,18.25,0.493,672.5,0.23
2025-03-04 07:00:00,us-east-1,12.63,0.323,872.0,2.9
2025-03-04 08:00:00,us-east-1,20.02,0.389,1000.0,1.7
2025-03-04 09:00:00,us-east-1,21.81,0.624,1000.0,1.23
2025-03-04 10:00:00,us-east-1,25.29,0.095,1000.0,2.5
2025-03-04 11:00:00,us-east-1,19.09,0.222,953.2,3.04
2025-03-04 12:00:00,us-east-1,18.19,0.083,1000.0,0.1
2025-03-04 13:00:00,us-east-1,19.14,1.451,1000.0,0.46
2025-03-04 14:00:00,us-east-1,23.54,0.952,1000.0,3.12
2025-03-04 15:00:00,us-east-1,21.72,0.013,959.4,2.74
2025-03-04 16:00:00,us-east-1,19.06,0.404,1000.0,8.46
2025-03-04 17:00:00,us-east-1,22.29,0.856,967.0,3.58
2025-03-04 18:00:00,us-east-1,21.0,0.066,1000.0,7.53
2025-03-04 19:00:00,us-east-1,20.62,0.252,1000.0,3.03
2025-03-04 20:00:00,us-east-1,16.1,0.741,685.4,0.88
2025-03-04 21:00:00,us-east-1,17.12,0.01,656.4,0.28
2025-03-04 22:00:00,us-east-1,16.94,0.359,1000.0,3.81
2025-03-04 23:00:00,us-east-1,14.05,0.106,824.9,2.58
2025-03-05 00:00:00,us-east-1,18.8,0.775,769.7,0.12
2025-03-05 01:00:00,us-east-1,18.7,1.063,974.8,1.12
2025-03-05 02:00:00,us-east-1,18.01,0.866,777.3,7.85
2025-03-05 03:00:00,us-east-1,17.37,0.193,1000.0,1.73
2025-03-05 04:00:00,us-east-1,14.18,0.594,931.4,1.42
2025-03-05 05:00:00,us-east-1,16.86,0.558,791.5,1.53
2025-03-05 06:00:00,us-east-1,17.07,0.115,1000.0,0.59
2025-03-05 07:00:00,us-east-1,15.83,0.53,777.3,1.15
2025-03-05 08:00:00,us-east-1,20.2,0.012,1000.0,1.15
2025-03-05 09:00:00,us-east-1,21.95,0.299,1000.0,0.13
2025-03-05 10:00:00,us-east-1,26.56,0.086,1000.0,3.65
2025-03-05 11:00:00,us-east-1,21.24,0.042,1000.0,1.35
