region,device,total_hours,uptime_hours,downtime_hours,uptime_pct,downtime_start,downtime_end
us-east-1,router-01,720,714.4,5.6,99.222,2025-03-28 06:00:00,2025-03-28 11:36:00
us-east-1,firewall-01,720,718.82,1.18,99.837,2025-03-05 18:00:00,2025-03-05 19:12:00
us-east-1,switch-core-01,720,718.07,1.93,99.732,2025-03-02 01:00:00,2025-03-02 02:54:00
us-east-1,lb-01,720,713.82,6.18,99.141,2025-03-12 17:00:00,2025-03-12 23:12:00
eu-west-1,router-02,720,713.74,6.26,99.13,2025-03-11 10:00:00,2025-03-11 16:18:00
eu-west-1,firewall-02,720,716.25,3.75,99.479,2025-03-10 12:00:00,2025-03-10 15:48:00
eu-west-1,switch-core-02,720,716.89,3.11,99.569,2025-03-06 22:00:00,2025-03-07 01:06:00
eu-west-1,lb-02,720,716.42,3.58,99.503,2025-03-05 08:00:00,2025-03-05 11:36:00
ap-southeast-1,router-03,720,715.78,4.22,99.414,2025-03-29 20:00:00,2025-03-30 00:12:00
ap-southeast-1,firewall-03,720,715.64,4.36,99.395,2025-03-24 06:00:00,2025-03-24 10:24:00
ap-southeast-1,switch-core-03,720,716.84,3.16,99.561,2025-03-04 17:00:00,2025-03-04 20:12:00
ap-southeast-1,lb-03,720,719.3,0.7,99.903,2025-03-26 04:00:00,2025-03-26 04:42:00
us-west-2,router-04,720,717.22,2.78,99.613,2025-03-19 00:00:00,2025-03-19 02:48:00
us-west-2,firewall-04,720,718.73,1.27,99.824,2025-03-02 08:00:00,2025-03-02 09:18:00
us-west-2,switch-core-04,720,715.25,4.75,99.34,2025-03-02 06:00:00,2025-03-02 10:42:00
us-west-2,lb-04,720,715.85,4.15,99.423,2025-03-04 23:00:00,2025-03-05 03:12:00
eu-central-1,router-05,720,716.57,3.43,99.523,2025-03-10 07:00:00,2025-03-10 10:24:00
eu-central-1,firewall-05,720,716.78,3.22,99.552,2025-03-10 22:00:00,2025-03-11 01:12:00
eu-central-1,switch-core-05,720,713.45,6.55,99.09,2025-03-22 13:00:00,2025-03-22 19:30:00
eu-central-1,lb-05,720,714.68,5.32,99.261,2025-03-26 16:00:00,2025-03-26 21:18:00
